State,Initial,Population,Index,Violent,Property,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto,Inmates,New Index *,Index/ Inmates,Region,Row,Column
Alabama,AL,"3,990,000",3902,431.2,3470.9,9.4,25.1,96.1,300.6,1001.8,2235.5,233.6,259.3,778.3,3,South,6,7
Alaska,AK,"500,000",6115.2,621.6,5493.6,11.6,91.6,109.4,409,1236.8,3628,628.8,251.7,1171,4.7,West,0,0
Arizona,AZ,"3,053,000",6499.4,516.1,5983.3,7.8,43.1,131.1,334.1,1714,3884.8,384.5,249.3,1114.4,4.5,West,5,2
Arkansas,AR,"2,349,000",3367.5,321.4,3046.1,7.5,29.7,67.6,216.6,885.9,1992.6,167.6,193.2,626,3.2,South,5,5
California,CA,"25,622,000",6468.3,763.4,5705,10.6,45.7,327.5,379.5,1729.3,3346.1,629.6,161.2,1333.9,8.3,West,4,1
Colorado,CO,"3,178,000",6471.1,457.8,6013.3,5.8,39,114,299,1561.3,4054.7,397.3,101.9,1059.1,10.4,West,4,3
Connecticut,CT,"3,154,000",4628.9,393.8,4235,3.9,24.1,190.5,175.4,1128.9,2683.3,422.8,117.9,817.3,6.9,Northeast,3,10
Delaware,DE,"613,000",5006.9,435.7,4571.1,4.1,48.9,116,266.7,1089.4,3221.4,260.4,252.8,892.8,3.5,Northeast,5,9
Florida,FL,"10,976,000",6821.2,868,5953.3,11.5,50.7,276.2,529.6,1808,3718.6,426.7,242.4,1463.3,6,South,7,9
Georgia,GA,"5,837,000",4498.1,478.6,4019.5,9.4,40.4,144.1,284.7,1204.6,2522.7,292.3,250.2,880.6,3.5,South,6,8
Hawaii,HI,"1,039,000",5484.3,231.9,5252.5,3.3,30.2,115.9,82.5,1213.6,3689,349.9,129.4,757.2,5.9,West,7,1
Idaho,ID,"1,001,000",3671.6,235.3,3436.4,3.4,18.7,24.4,188.8,874.2,2411.4,150.7,126.5,578.9,4.6,West,2,2
Illinois,IL,"11,511,000",5304.2,724.9,4579.3,9,31.2,303.8,380.9,1173.4,2820.3,585.6,150,1182.8,7.9,Midwest,2,6
Indiana,IN,"5,498,000",3929.4,305.2,3624.2,5.5,25,98.9,175.9,928,2345.2,351,166,667.6,4,Midwest,3,6
Iowa,IA,"2,910,000",3799.5,198.7,3600.9,2,12.9,38.3,145.5,871.4,2571.1,158.4,99.2,558.8,5.6,Midwest,3,5
Kansas,KS,"2,438,000",4339.3,334.2,4005.2,3.7,27.4,71.6,231.5,1049.1,2749.3,206.8,175.1,734.7,4.2,Midwest,5,4
Kentucky,KY,"3,723,000",2958.5,277.8,2680.7,6.6,22.2,70.7,178.4,785.2,1715.3,180.2,130.4,545.9,4.2,South,4,6
Louisiana,LA,"4,462,000",5110.5,678,4432.5,12.9,41.8,190.5,432.8,1226.2,2898.9,307.5,310.4,1121.3,3.6,South,6,5
Maine,ME,"1,156,000",3527.3,158.5,3368.9,1.7,13.4,26.4,117,888.1,2319.3,161.4,73.3,495.4,6.8,Northeast,0,11
Maryland,DE,"4,349,000",5214.5,792.3,4422.3,8.1,37.7,301.1,445.3,1183.8,2841.3,397.2,285,1234.5,4.3,South,4,9
Massachusetts,MA,"5,798,000",4588.4,523.7,4064.8,3.6,28.1,174.6,317.4,1099.6,2125.1,840,81.1,930.2,11.5,Northeast,2,11
Michigan,MI,"9,075,000",6556,760.1,5795.9,9.7,64.8,306.7,378.9,1644.2,3285.9,865.9,161.4,1339.7,8.3,Midwest,2,8
Minnesota,MN,"4,162,000",3841.5,211.5,3630,1.8,25.3,71.1,113.3,990.9,2432.5,206.6,52.1,574.5,11,Midwest,2,5
Mississippi,MS,"2,598,000",3059.9,282,2777.9,9.7,27.5,60.5,184.3,980.1,1653.3,144.5,231.7,559.8,2.4,South,6,6
Missouri,MO,"5,008,000",4297,460.7,3836.3,7.1,26.5,140.8,286.2,1115.5,2391.2,329.7,176.3,844.3,4.8,Midwest,4,5
Montana,MT,"824,000",4652.7,237.6,4415,4.4,20.6,27.4,185.2,858,3286.4,270.6,117.4,679.1,5.8,West,2,3
Nebraska,NE,"1,606,000",3496.5,225.8,3270.6,3.4,23.7,43.2,155.6,643.8,2482.9,144,98.6,552.9,5.6,Midwest,4,4
Nevada,NV,"911,000",6561,628.5,5932.5,10.8,60.7,279,278,1978.4,3458.6,495.5,377.1,1221.8,3.2,West,3,2
New Hampshire,NH,"977,000",3137.7,133.9,3003.8,1,20.7,23.2,88.9,735.9,2079.2,188.6,59.5,434.3,7.3,Northeast,1,11
