State,Initial,Population,Index,Violent,Property,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto,Inmates,New Index *,Index/ Inmates,Region,Row,Column
New Jersey,NJ,"7,515,000",4855.5,527.7,4327.8,5.3,32.5,242.4,247.4,1062.8,2690.4,574.6,137.9,960.5,7,Northeast,3,9
New Mexico,NM,"1,424,000",6243.4,688.1,5555.3,9.1,55,130.3,493.6,1639.7,3595.2,320.5,134.7,1243.6,9.2,West,5,3
New York,NY,"17,735,000",5577.3,914.3,4662.9,10.1,31.6,506.9,365.8,1257.2,2755.1,650.6,186.6,1380.6,7.4,Northeast,2,9
North Carolina,NC,"6,165,000",4044.2,403.6,3640.5,8.7,21.6,74.8,298.5,1131.3,2330.9,178.3,246.9,767.7,3.1,South,5,7
North Dakota,ND,"686,000",2583.4,53.6,2529.7,1.2,13.1,7.7,31.6,399.1,2019.8,110.8,55.1,306.6,5.6,Midwest,2,4
Ohio,OH,"10,752,000",4273.1,385.3,3887.8,5.1,34.7,145.6,199.9,1049.9,2475.3,362.5,173.4,774.1,4.5,Midwest,3,7
Oklahoma,OK,"3,298,000",4892.5,407.5,4485.1,7.8,39.9,111.2,248.5,1454.8,2572.6,457.7,239.6,856,3.6,South,6,4
Oregon,OR,"2,674,000",6243.7,506.1,5737.6,4.8,44.9,168.6,287.8,1823.3,3617.9,296.4,158.4,1079.9,6.8,West,3,1
Pennsylvania,PA,"11,901,000",3059.5,320.6,2738.9,4.5,23.2,148.4,144.5,743.8,1655.3,339.8,110,594.5,5.4,Northeast,3,8
Rhode Island,RI,"962,000",4774,334.7,4439.3,3.4,21.3,113.4,196.6,1184.6,2562.8,691.9,92.6,778.6,8.4,Northeast,2,10
South Carolina,SC,"3,300,000",4662.9,624.5,4038.5,9.2,40.3,103.3,471.7,1231.7,2568.3,238.5,284.7,1028.4,3.6,South,5,8
South Dakota,SD,"706,000",2612.5,147.5,2465,1.8,26.9,14.9,103.8,499.9,1855.8,109.3,129.7,394,3,Midwest,3,4
Tennessee,TN,"4,717,000",3889.6,445.4,3444.2,8.4,40,166.8,230.3,1123.6,1954.1,366.4,155.9,789.8,5.1,South,5,6
Texas,TX,"15,989,000",6029.9,505,5525,13.1,45.9,178.5,267.4,1664.1,3311.8,549.1,229.2,1057.5,4.6,South,7,4
Utah,UT,"1,652,000",4766.2,244.2,4522,2.8,20.3,58,163.1,858.1,3437.2,226.7,91.9,696.4,7.6,West,4,2
Vermont,VT,"530,000",3967.9,145.1,3822.8,2.3,19.8,23,100,1016.4,2651.7,154.7,71.8,527.4,7.3,Northeast,1,10
Virginia,VA,"5,636,000",3783.6,295.6,3488,7.7,26.7,102.3,158.9,841.7,2462.9,183.4,189,644.4,3.4,South,4,8
Washington,WA,"4,349,000",6101.7,406.4,5695.3,4.6,50,120.6,231.1,1702,3745.8,247.4,157,975.9,6.2,West,2,1
West Virginia,WV,"1,952,000",2335.9,168.2,2167.7,4.4,15.6,38.1,110,648,1347.1,172.5,81.9,385,4.7,South,4,7
Wisconsin,WI,"4,766,000",4172.3,196.5,3975.7,2.5,16.6,66.4,111.1,834.1,2906.5,235.1,105,594.1,5.7,Midwest,2,7
Wyoming,WY,"511,000",3682.8,242.1,3440.7,3.3,20.9,23.1,194.7,641.7,2645.4,153.6,143.4,586.2,4.1,West,3,3
