YEAR,PARTY,RD_Difference,Total
1960,D,0.2,83254.4
1964,D,21.8,105977.1
1968,D,0.7,145707.2
1972,D,23.2,180011.2
1976,D,2.1,243912
1980,D,9.7,274934.6
1984,D,18.2,229860.8
1988,D,7.8,254791.8
1992,D,3.6,254255.3
1996,D,8.5,240951.5
2000,D,0.5,198987.5
2004,D,2.4,191380.4
2008,D,7.2,175160.4
2012,D,3.3,159226.2
