State,Initial,Population,Index,Violent,Property,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto,Inmates,New Index *,Index/ Inmates,Region,Row,Column
Alabama,AL,"4,447,100",4545.9,486.2,4059.7,7.4,33.3,128.2,317.2,906.9,2864.8,288,584.8,892.2,1.5,South,6,7
Alaska,AK,"626,932",4249.4,566.9,3682.5,4.3,70.3,78.2,405.1,621.9,2685.8,374.8,339.1,935.2,2.8,West,0,0
Arizona,AZ,"5,130,632",5829.5,531.7,5297.8,7,30.7,146.3,347.7,1011.6,3444.1,842.1,491.8,1061.5,2.2,West,5,2
Arkansas,AR,"2,673,400",4115.3,445.3,3670,6.3,31.7,74.8,332.4,802.1,2608.7,259.3,442.5,812.3,1.8,South,5,5
California,CA,"33,871,648",3739.7,621.6,3118.2,6.1,28.9,177.9,408.7,656.3,1924.5,537.4,471.9,933.4,2,West,4,1
Colorado,CO,"4,301,261",3982.6,334,3648.6,3.1,41.2,70.5,219.1,630.8,2623.5,394.3,388.9,698.9,1.8,West,4,3
Connecticut,CT,"3,405,565",3232.7,324.7,2908,2.9,19.9,112.5,189.4,512,2011.4,384.6,385.6,615.5,1.6,Northeast,3,10
Delaware,DE,"783,600",4478.1,684.4,3793.6,3.2,54.1,177.9,449.2,665.6,2725.9,402.1,500.6,1063.8,2.1,Northeast,5,9
Florida,FL,"15,982,378",5694.7,812,4882.7,5.6,44.2,199,563.2,1081.8,3242.9,558,444.4,1300.3,2.9,South,7,9
Georgia,GA,"8,186,453",4751.1,504.7,4246.4,8,24,161.9,310.9,836.6,2937,472.8,536.3,929.3,1.7,South,6,8
Hawaii,HI,"1,211,537",5198.9,243.8,4955.1,2.9,28.6,92.7,119.7,880.3,3570.2,504.6,293.3,739.3,2.5,West,7,1
Idaho,ID,"1,293,953",3186.2,252.5,2933.7,1.2,29.7,17.2,204.3,566.5,2206,161.2,425.9,545.9,1.3,West,2,2
Illinois,IL,"12,419,293",4286.2,656.8,3629.4,7.2,32.9,207.4,409.3,659.6,2517.8,452.1,364.1,1019.7,2.8,Midwest,2,6
Indiana,IN,"6,080,485",3751.9,349.1,3402.8,5.8,28.9,103.3,211.1,676.1,2379.9,346.8,325.2,689.4,2.1,Midwest,3,6
Iowa,IA,"2,926,324",3233.7,266.4,2967.3,1.6,23.1,36.6,205.1,558.4,2225.2,183.6,271.7,563.1,2.1,Midwest,3,5
Kansas,KS,"2,688,418",4408.8,389.4,4019.4,6.3,38,76.2,269,799.1,2978.6,241.6,309.9,791.3,2.6,Midwest,5,4
Kentucky,KY,"4,041,769",2959.7,294.5,2665.2,4.8,27,80.6,182.2,626.2,1809.6,229.5,368.5,561,1.5,South,4,6
Louisiana,LA,"4,468,976",5422.8,681.1,4741.7,12.5,33.5,168.5,466.6,1035.8,3229.9,475.9,787.8,1155.3,1.5,South,6,5
