State,Initial,Population,Index,Violent,Property,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto,Inmates,New Index *,Index/ Inmates,Region,Row,Column
Maine,ME,"1,274,923",2619.8,109.6,2510.2,1.2,25.1,19.4,63.9,531.4,1875.1,103.7,128,360.6,2.8,Northeast,0,11
Maryland,DE,"5,296,486",4816.1,786.6,4029.5,8.1,29.1,256,493.3,744.4,2745.7,539.5,423.5,1189.6,2.8,South,4,9
Massachusetts,MA,"6,349,097",3026.1,476.1,2550,2,26.7,91.6,355.9,482,1660.5,407.6,149,731.1,4.9,Northeast,2,11
Michigan,MI,"9,938,444",4109.9,555,3554.9,6.7,50.6,138,359.7,702.2,2291.9,560.7,479.3,910.5,1.9,Midwest,2,8
Minnesota,MN,"4,919,479",3488.4,280.8,3207.6,3.1,45.5,75.5,156.7,530.9,2403.7,273,126.4,601.6,4.8,Midwest,2,5
Mississippi,MS,"2,844,658",4004.4,360.9,3643.5,9,33.3,128.2,317.2,906.9,2864.8,288,675.5,725.3,1.1,South,6,6
Missouri,MO,"5,595,211",4527.8,490,4037.7,6.2,24.1,135.8,323.9,745,2851.3,441.4,490.9,893.8,1.8,Midwest,4,5
Montana,MT,"902,195",3533.4,240.6,3292.7,1.8,33.4,27.6,177.9,437.4,2638.6,216.8,343.7,569.9,1.7,West,2,3
Nebraska,NE,"1,711,263",4095.5,327.6,3767.9,3.7,25.5,67,231.4,592,2870.3,305.6,222.7,704.4,3.2,Midwest,4,4
Nevada,NV,"1,998,257",4268.6,524.2,3744.4,6.5,43,227.3,247.3,877.1,2208.2,659.2,498.6,898.6,1.8,West,3,2
New Hampshire,NH,"1,235,786",2433.1,175.4,2257.8,1.8,42.2,36.7,94.7,404,1680,173.8,182,401.2,2.2,Northeast,1,11
New Jersey,NJ,"8,414,350",3160.5,383.8,2776.6,3.4,16.1,161.1,203.2,522,1848.8,405.9,353.3,661.5,1.9,Northeast,3,9
New Mexico,NM,"1,819,046",5518.9,757.9,4761,7.4,50.7,137.4,562.4,1173.1,3184.4,403.6,256.3,1234,4.8,West,5,3
New York,NY,"18,976,457",3099.6,553.9,2545.7,5,18.6,213.6,316.7,463.4,1796.4,285.8,369.5,808.5,2.2,Northeast,2,9
North Carolina,NC,"8,049,313",4919.3,497.6,4421.8,7,27.1,156.5,307,1216.1,2891.8,313.9,334.7,939.8,2.8,South,5,7
North Dakota,ND,"642,200",2288.1,81.4,2206.6,0.6,26.3,8.7,45.8,325.9,1727.2,153.5,155,302.1,1.9,Midwest,2,4
Ohio,OH,"11,353,140",4041.8,334.1,3707.7,3.7,37.6,137.5,155.3,780.7,2583.2,343.7,403.3,704.9,1.7,Midwest,3,7
Oklahoma,OK,"3,450,654",4558.6,497.8,4060.8,5.3,41.2,75.8,375.5,917.5,2785.4,357.8,671.2,903.9,1.3,South,6,4
Oregon,OR,"3,421,399",4845.4,350.7,4494.7,2,37.6,84.4,226.7,748.8,3338.7,407.2,307.6,800.2,2.6,West,3,1
Pennsylvania,PA,"12,281,054",2995.3,420,2575.3,4.9,26.4,147.8,240.9,440.4,1839.2,295.8,299.9,677.5,2.3,Northeast,3,8
Rhode Island,RI,"1,048,319",3476.4,297.7,3178.7,4.3,39.3,88,166.2,631.5,2102.2,445,187.1,615.6,3.3,Northeast,2,10
South Carolina,SC,"4,012,012",5221.4,804.9,4416.5,5.8,37.7,146.6,614.8,969.3,3068.1,379,522.4,1246.6,2.4,South,5,8
South Dakota,SD,"754,844",2319.8,166.8,2153,0.9,40.4,17.4,108.1,383.7,1663.7,105.7,345.8,382.1,1.1,Midwest,3,4
Tennessee,TN,"5,689,283",4890.2,707.2,4183,7.2,38.4,166.4,495.2,990.4,2708.8,483.9,388.7,1125.5,2.9,South,5,6
Texas,TX,"20,851,820",4955.5,545.1,4410.4,5.9,37.7,145.1,356.3,906.3,3057.4,446.8,754.4,986.1,1.3,South,7,4
Utah,UT,"2,233,169",4476.1,255.7,4220.3,1.9,38.6,55.6,159.5,642.5,3288.5,289.3,246.9,677.7,2.7,West,4,2
Vermont,VT,"608,827",2986.9,113.5,2873.4,1.5,23,19.2,69.8,575,2165.5,132.9,215.3,400.8,1.9,Northeast,1,10
Virginia,VA,"7,078,515",3028.1,281.7,2746.4,5.7,22.8,88.9,164.3,429.9,2064.8,251.6,417.2,556.3,1.3,South,4,8
Washington,WA,"5,894,121",5105.6,369.7,4736,3.3,46.4,98.6,221.3,907.3,3234.6,594.1,248.1,843.3,3.4,West,2,1
West Virginia,WV,"1,808,344",2602.8,316.5,2286.3,2.5,18.3,41.4,254.2,546.9,1556.1,183.3,210,545.1,2.6,South,4,7
Wisconsin,WI,"5,363,675",3209.1,236.8,2972.3,3.2,21.7,84.6,127.3,469.5,2229.9,272.9,378.4,534,1.4,Midwest,2,7
Wyoming,WY,"493,782",3298,266.5,3031.5,2.4,32.4,14.2,217.5,420.8,2494.6,116.1,340.1,569.7,1.7,West,3,3
